id|Kanji|Strokes|"Name of Radical"|"Radical Freq."|"Reading within Joyo"|"Reading beyond Joyo"|"On within Joyo"|"Translation of On"|"Kun within Joyo"|"Translation of Kun"|"Kanji Frequency with Proper Nouns"
1527|統|12|"Ito, Itohen"|63|トウ、す-べる||too|"relationship; lineage; beginning"|su(beru)|"control, supervise, govern"|240609
1483|電|13|"Ame, Amekanmuri"|13|デン||den|electricity|-|-|239873
1789|平|5|Ichijuu|5|ヘイ、ビョウ、たい-ら、ひら|ヒョウ、ピョウ|"hei, 	byoo"|"level, peaceful"|"tai(ra), hira"|"flat, smooth; calm; a plain; sitting tailor fashion. earnestly, humbly. common, ordinary "|239103
1120|省|9|"Me, Mehen"|19|セイ、ショウ、かえり-みる、はぶ-く||"sei, 	shoo"|"ministry, department; province (in China)"|"kaeri(miru), habu(ku)"|"look back; turn around, look back upon, review; examine oneself; take notice of. omit, eliminate; curtail, economize"|238338
771|死|6|Kabanehen|5|シ、し-ぬ||shi|death|shi(nu)|die|236326
1049|信|9|"Hito, Ninben, Hitoyane"|104|シン|の|shin|"truth; faith, fidelity, sincerity; trust, confidence, reliance "|-|-|236001
178|改|7|Nobun|16|カイ、あらた-める、あらた-まる||kai|"change, modify, convert; renew, renovate; reform, mend, rectify; amend, revise, improve; examine, inspect, search"|"arata(meru), arata(maru)"|"change, modify, convert; renew, renovate; reform, mend, rectify; amend, revise, improve; examine, inspect, search; be renewed, be renovated; be modified, be revised; be improved, be reformed; be ceremonious"|234577
1876|木|4|"Ki, Kihen"|85|ボク、モク、き、[こ]||"boku, 	moku"|"tree, Thursday"|"ki, [ko]"|"tree; wood; timber; lumber; wooden clappers"|234482
901|集|12|Furutori|9|シュウ、あつ-まる、あつ-める、つど-う||shuu|"collection, gathering"|"atsu(maru), atsu(meru), tsudo(u)"|"meet, assemble, congregate; swarm, flock or gather together; be collected, be gathered together; converge. gather, collect; focus (something on) "|234156
1104|井|4|Ni|6|セイ、[ショウ]、い||"sei, [shoo]"|well|i|well|234115
658|告|7|"Kuchi, Kuchihen"|70|コク、つ-げる||koku|"tell, inform, announce, proclaim; bid, order "|tsu(geru)|"tell, inform, announce, proclaim; bid, order "|232580
1347|団|6|Kunigamae|12|ダン、[トン]||"dan, [ton]"|"body, group, corps, gang, party, company, troupe; circle"|-|-|232277
1936|面|9|Men|1|メン、おも、おもて、つら||men|"face features; mask, face guard; surface; plane; side, facet; aspect, phase, corner (of a board); page "|"omo, omote, tsura"|"face, honor, reputation. surface"|232121
2036|利|7|"Katana, Rittoo"|32|リ、き-く|と|ri|"advantage, benefit, gain; interest; victory"|ki(ku)|"take effect, do (a person) good; work, operate; tell (on one's strength); be available (bus or phone)"|231614
191|解|13|"Tsuno, Tsunohen"|3|カイ、ゲ、と-く、と-かす、と-ける|ケ|"kai, 	ge"|"explanation, notes; key; excuse; understanding"|"to(ku), to(kasu), to(keru)"|"untie, undo, loosen, unpack; unravel, disentangle, unsew; dismantle; solve, answer; dispel; cancel; absolve; release; dismiss (a person); explain; comb out; get loose, come untied; relent; be solved, be dispelled; be relieved (of a job)"|231535
1081|水|4|"Mizu, Sanzui, Shitamizu"|118|スイ、みず||sui|"water; ice water; Wednesday"|mizu|water|230561
809|次|6|Akubi|8|ジ、シ、つ-ぐ、つぎ|と|"ji, 	shi"|"order, sequence; times; next; below "|"tsu(gu), tsugi"|"rank next to, come later. next; stage station, stage"|230245
594|広|5|Madare|17|コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる||koo|"spread out, extend, reach to"|"hiro(i), hiro(maru), hiro(meru), hiro(garu), hiro(geru)"|"spread out, extend, reach to. expand, enlarge, widen; unfurl; open (arms of a package), stretch, spread. be diffused, prevail, be propagated, prevade, be circulated, become popular. enlargel; disseminate; popularize; advertise, introduce, announcement, advertisement. wide, broad, extensive, spacious"|229871
1997|容|10|Ukanmuri|36|ヨウ|い|yoo|"form; looks"|-|-|228205
623|校|10|"Ki, Kihen"|85|コウ|ギョウ|koo|"school; (printing) proof; comparison; correction; investigation"|-|-|226338
668|込|5|Shinnyoo|51|こ-む、こ-める||-|-|"ko(mu), ko(meru)"|"be crowded; requiring (a lot of work). include; load (a gun); concentrate on; devote oneself to"|226062
1655|反|4|Mata|9|ハン、[ホン]、[タン]、そ-る、そ-らす||"han, [hon], [tan]"|"antithesis, opposite, antagonism; anti-. roll of cloth (c. 10yds.); .245 acres, 300 tsubo"|"so(ru), so(rasu)"|"warp; curve; lean backward. bend, warp "|225873
478|計|9|"Gon, Gonben"|68|ケイ、はか-る、はか-らう|ケ、ゲ|kei|"plan, scheme, trick; total; meter, gauge "|"haka(ru), haka(rau)"|"measure, gauge, weigh; fathom, sound; compute, estimate; manage, arrange, dispose of, see about, talk over"|225855
1418|直|8|"Me, Mehen"|19|チョク、ジキ、ただ-ちに、なお-す、なお-る|た、だ|"choku, 	jiki"|"honesty, frankness; simplicity; correctness; being straight; night duty "|"tada(chini), nao(su), nao(ru)"|"be mended; get well; be restored; return to normal; be installed (as a legal wife); change (from third to second class). mend, repair, put in order, reform, correct; revise, amend; re-do, alter; cure; restore; adjust, regulate; convert (money). immediately, directly, in person"|225689
1922|無|12|"Hi, Hihen, Renga"|26|ム、ブ、な-い||"mu, 	bu"|"nothing, nil, negation"|na(i)|"if there were none; were it not for; unless"|225588
799|資|13|"Kai, Kaihen"|35|シ|もと|shi|"resources, capital, funds; materials; data; quality, disposition; help "|-|-|225264
431|近|7|Shinnyoo|51|キン、ちか-い|ゴン、コン|kin|"early, immediate; near, short (road), close by; akin to; nearby, bordering on, verge of, tantamount to; intimate, friendly"|chika(i)|"early, immediate; near, short (road), close by; akin to; nearby, bordering on, verge of, tantamount to; intimate, friendly"|225079
713|歳|13|Tomeru|6|サイ、[セイ]|とし|"sai, [sei]"|"year, age; time; occasion; opportunity; limit; vicinity "|-|-|224298
1406|朝|12|"Tsuki, Tsukihen"|8|チョウ、あさ||choo|"dynasty; reign, regime; period, epoch; the court "|asa|"morning, forenoon"|223992
1739|付|5|"Hito, Ninben, Hitoyane"|104|フ、つ-ける、つ-く||fu|"give to, submit to, refer to; affix, attach, append "|"tsu(keru), tsu(ku)"|"attach, join, stick, glue, fasten; sew on; furnish (a house with); wear, put on; make an entry; appraise, set (a price); apply (ointment); bring alongside; place (under guard or a doctor); follow, shadow; add, append, affix; load; give (courage to); keep (an eye on); establish (relations or understanding). be connected with; be dyed; be stained; be scarred; be recorded; be attached to; (fires) start; follow; become allied to; accompany; study with; increase, be added to"|223721
395|共|6|Hachi|8|キョウ、とも||kyoo|"both; neither (with neg.); all; and, as well as; including; with, together with; plural ending"|tomo|"both; neither (with neg.); all; and, as well as; including; with, together with; plural ending"|222581
1550|得|11|Gyooninben|19|トク、え-る、う-る||toku|"profit, advantage, benefit"|"e(ru), u(ru)"|"get, acquire, acquire, find, earn, win, gain, receive; can, be able to, may; commit (sin) "|222334
843|車|7|"Kuruma, Kurumahen"|15|シャ、くるま||sha|"vehicle, a vehicle load"|kuruma|"wheel; vehicle, carriage, wagon; cart, wheelbarrow; go-cart; jinricksha; van, automobile"|222210
1729|品|9|"Kuchi, Kuchihen"|70|ヒン、しな|ホン、ポン、ボン|hin|"refinement, dignity; article "|shina|"article, goods, thing; quality; brand; kind, type; ways, conditions; character "|221436
510|結|12|"Ito, Itohen"|63|ケツ、むす-ぶ、ゆ-う、ゆ-わえる|ケチ|ketsu|"tie, bind; tie a knot; make (contracts, treaties, and friendships); join; finish, wind up; unite with; organize"|"musu(bu), yu(u), yu(waeru)"|"tie, bind; tie a knot; make (contracts, treaties, and friendships); join; finish, wind up; unite with; organize; do up (the hair); make (a braided fence); bind, fasten, tie up"|221207
46|引|4|"Yumi, Yumihen"|11|イン、ひ-く、ひ-ける||in|"draw, pull, haul, tug, jerk, drag, trail, bend, attract; lead (horses or captives); draw (lines); admit; install (utilities); quote, refer to; look up (words); subtract, reduce; apply, daub on; blunt (a sword); patronize; choose; draw (a line); catch (a cold); retreat, withdraw, retire; subside"|"hi(ku), hi(keru)"|"draw, pull, haul, tug, jerk, drag, trail, bend, attract; lead (horses or captives); draw (lines); admit; install (utilities); quote, refer to; look up (words); subtract, reduce; apply, daub on; blunt (a sword); patronize; choose; draw (a line); catch (a cold); retreat, withdraw, retire; subside; close, be over; can discount; slink away"|217815
167|画|8|"Ta, Tahen"|19|ガ、カク|エ、えが|"ga, 	kaku"|"picture, drawing, painting, sketch; stroke (in a character)"|-|-|217267
728|策|12|"Take, Takekanmuri"|24|サク||saku|"plan, scheme, policy; step, means; whip"|-|-|216934
1587|任|6|"Hito, Ninben, Hitoyane"|104|ニン、まか-せる、まか-す||nin|"duty, responsibility; office; mission; term "|"maka(seru), maka(su)"|"entrust to, leave to "|216719
1109|西|6|Nishi|4|セイ、サイ、にし||"sei, 	sai"|west|nishi|west|215897
344|疑|14|Hiki|2|ギ、うたが-う||gi|"doubt; distrust; be suspicious of"|utaga(u)|"doubt; distrust; be suspicious of"|215539
1622|売|7|Samurai|5|バイ、う-る、う-れる|マイ、メ|bai|selling|"u(ru), u(reru)"|"sell, deal in, betray, deceive, impose on, tell on, pick (a quarrel). be in demand, enjoy a large sale; be well known "|214276
531|検|12|"Ki, Kihen"|85|ケン||ken|investigation|-|-|212504
1600|能|10|"Niku, Nikuzuki"|44|ノウ|ノ、あた、よ、た|noo|"ability, talent, skill, capacity; noh play, classical drama"|-|-|212465
1051|神|9|"Shimesu, Shimesuhen"|15|シン、ジン、かみ、[かん]、[こう]||"shin, 	jin"|"god, deity; mind, soul"|"kami, [kan], [koo]"|"God, god, Allah"|211666
715|際|14|Kozatohen|31|サイ、きわ||sai|"time, occasion; when "|kiwa|"side, edge, verge "|211527
746|参|8|Mu|2|サン、まい-る||san|"three; going; coming; visiting"|mai(ru)|"go; come; call, visit; visit a shrine; be defeated; be nonplussed; be madly in love; die "|210543
1656|半|5|Juu|11|ハン、なか-ば||han|"half; odd number; semi-, hemi-, demi-"|naka(ba)|"half, semi-, middle, halfway; partly"|210130
694|再|6|Doogamae|3|サイ、[サ]、ふたた-び||"sai, [sa]"|"again, twice"|futata(bi)|"again, twice"|207701
1577|二|2|Ni|6|ニ、ふた、ふた-つ|ジ|ni|"two, second"|"futa, futa(tsu)"|two|207617
777|使|8|"Hito, Ninben, Hitoyane"|104|シ、つか-う||shi|"use; messenger"|tsuka(u)|"use; handle, manipulate; employ; need, want; spend, consume; speak (English); practice (fencing); take (one's lunch); circulate (bad money)"|207502
602|考|6|Oikanmuri|3|コウ、かんが-える||koo|"thought, consideration; research, treatise "|kanga(eru)|"think, consider, believe, suspect; be of the opinion; intend; expect, hope, fear; judge, conclude; imagine, suppose; regard as; be discreet; ponder over; reconsider; be prepared for; invent "|207299
1154|切|4|"Katana, Rittoo"|32|セツ、[サイ]、き-る、き-れる||"setsu, [sai]"|"cut, chop, hash; carve; saw; clip, shear; slice, strip; fell, cut down; punch; sever (connections); pause, break off; disconnect, turn off; hang up; cross (a street); discount, sell below cost; shake (water) off"|"ki(ru), ki(reru)"|"cut, chop, hash; carve; saw; clip, shear; slice, strip; fell, cut down; punch; sever (connections); pause, break off; disconnect, turn off; hang up; cross (a street); discount, sell below cost; shake (water) off. cut well, be sharp; break, snap; wear out; be injured; burst, collapse; break off, be disconnected; be out of; expire; sever (connections) with; sharp, shrewd; less than "|205574
1787|聞|14|"Mimi, Mimihen"|5|ブン、モン、き-く、き-こえる||"bun, 	mon"|"hear, listen to; learn of; inquire; follow advice "|"ki(ku), ki(koeru)"|"hear, listen to; learn of; inquire; follow advice. be heard; sound, ring, seem; be well known; be reasonable "|204919
425|局|7|Shikabane|15|キョク|つぼね|kyoku|"bureau, board, office; central; post office; affair; duty; situation; conclusion"|-|-|204511
199|害|10|Ukanmuri|36|ガイ||gai|"injury, harm, damage, mischief, interference"|-|-|203753
1256|増|14|"Tsuchi, Tsuchihen"|50|ゾウ、ま-す、ふ-える、ふ-やす||zoo|increase|"ma(su), fu(eru), fu(yasu)"|"increase, add to, augment, gain; promote (health); enlarge, extend "|202667
1549|特|10|"Ushi, Ushihen"|6|トク||toku|special|-|-|201736
21|委|8|"Onna, Onnahen"|36|イ、ゆだ-ねる|まか|i|"entrust to, discard"|yuda(neru)|"entrust to, devote (oneself) to"|200980
587|口|3|"Kuchi, Kuchihen"|70|コウ、ク、くち||"koo, 	ku"|mouth|kuchi|"mouth, lips; speech, words; one's taste, stopper, plug; nozzle, orifice, slit, aperture; door, gate, entrance; route, ascent; employment, job; call (for a doctor); share; kind, lot, brand; beginning; rumor, opening (of a boil)"|200300
369|求|7|"Mizu, Sanzui, Shitamizu"|118|キュウ、もと-める|グ|kyuu|"want, wish for, request, demand; seek, search for; pursue (pleasure); hunt (a job); buy"|moto(meru)|"want, wish for, request, demand; seek, search for; pursue (pleasure); hunt (a job); buy"|199081
2128|論|15|"Gon, Gonben"|68|ロン||ron|"argument; discourse"|-|-|197415
895|終|11|"Ito, Itohen"|63|シュウ、お-わる、お-える|つい|shuu|end|"o(waru), o(eru)"|"end, terminate, adjourn, be over; die. finish, complete"|195327
1314|台|5|"Kuchi, Kuchihen"|70|ダイ、タイ|うてな|"dai, 	tai"|"stand, pedestal, rack, table, dais, bench, block; holder, support; mounting, setting"|-|-|193902
703|済|11|"Mizu, Sanzui, Shitamizu"|118|サイ、す-む、す-ます|セイ、わた|sai|"end; do without; avoid; be excusable; need not"|"su(mu), su(masu)"|"end; do without; avoid; be excusable; need not. finish up; settle (one's account); make do"|193637
2069|領|14|Oogai|22|リョウ||ryoo|"dominion, territory possession, fief; suit (of armor) "|-|-|192760
910|住|7|"Hito, Ninben, Hitoyane"|104|ジュウ、す-む、す-まう||juu|"dwelling, living"|"su(mu), su(mau)"|"live, reside, inhabit"|192383
584|語|14|"Gon, Gonben"|68|ゴ、かた-る、かた-らう||go|"word, speech, language, term"|"kata(ru), kata(rau)"|"talk, tell, narrate, recite. chat; pledge one's troth; invite, entice; win; conspire with"|191480
762|止|4|Tomeru|6|シ、と-まる、と-める|や|shi|"stop, halt, stand still, pull up; cease, be interrupted, be discontinued; be choked; alight on, perch, roost; be held in position"|"to(maru), to(meru)"|"stop, halt, stand still, pull up; cease, be interrupted, be discontinued; be choked; alight on, perch, roost; be held in position. check; allay (pain); fasten; turn off; detain; forbid to do; dissuade "|189270
118|岡|8|"Yama, Yamahen"|16|[おか]|コウ|-|-|[oka]|"hill, knoll, rising ground"|187113
709|裁|12|"Koromo, Koromohen"|21|サイ、た-つ、さば-く||sai|judge|"ta(tsu), saba(ku)"|"judge. cut out (a suit); sever, cut off; shut off, interrupt; abstain from; eradicate; suppress"|187046
2063|料|10|Tomasu|3|リョウ||ryoo|"charge, rate, fee; allowance; materials; measuring"|-|-|185047
1390|著|11|Kusakanmuri|47|チョ、あらわ-す、いちじる-しい||cho|"literary work"|"arawa(su), ichijiru(shii)"|"write, publish. remarkable, phenomenal"|184898
1985|優|17|"Hito, Ninben, Hitoyane"|104|ユウ、やさ-しい、すぐ-れる|ウ|yuu|"actor; superiority; gentleness"|"yasa(shii), sugu(reru)"|"excel, surpass; have advantages over; be excellent. gentle, tender, graceful, affectionate, kind, amiable, suave "|183796
321|基|11|"Tsuchi, Tsuchihen"|50|キ、もと、もとい||ki|"radical (in chemistry); counter for lanterns, wreaths, motors, silos, and heavy machines; foundation; fundamentals; basis"|"moto, motoi"|"basis, foundation, origin"|183500
141|果|8|"Ki, Kihen"|85|カ、は-たす、は-てる、は-て|くだもの|ka|"fruit, reward"|"ha(tasu), ha(teru), ha(te)"|"carry out, achieve, complete; realize, perform, fulfill; end, be finished, be exhausted; die, perish; limit, bounds, extremity, result; fate"|183069
1810|変|9|Suinyoo|4|ヘン、か-わる、か-える||hen|"change; accident, calamity; uprising; something strange "|"ka(waru), ka(eru)"|"change, vary; be revised; be different; be queer; move; be transferred. vary convert; revise, amend "|183042
13|案|10|"Ki, Kihen"|85|アン||an|"proposition, suggestion, plan, idea; opinion; expectation; bill, draft, measure; table"|-|-|182072
1972|有|6|"Tsuki, Tsukihen"|8|ユウ、ウ、あ-る|ま|"yuu, 	u"|"possession. being, existence "|a(ru)|"there is, have, exist; occur; be located, be contained in; (it) measures; happen; be found; be held; consist of "|180920
1619|敗|11|Nobun|16|ハイ、やぶ-れる||hai|"defeat, reversal"|yabu(reru)|"be defeated"|180635
222|確|15|"Ishi, Ishihen"|16|カク、たし-か、たし-かめる||kaku|"firm, tight, hard, solid"|"tashi(ka), tashi(kameru)"|"ascertain, confirm, verify; sure, positive; accurate; reliable; sound, firm; clear, evident; genuine; able, competent; sober, sane; I think; if I remember right; certainly, doubtless; for certain"|178948
1038|職|18|"Mimi, Mimihen"|5|ショク||shoku|"employment, work, job, office"|-|-|176796
961|少|4|Shoo|5|ショウ、すく-ない、すこ-し||shoo|"few; small; young"|"suku(nai), suko(shi)"|"a small quantity, a little; a few; something; a little while; a short distance. few, a little, scarce, insufficient, seldom "|176331
73|営|12|Tsukanmuri|4|エイ、いとな-む||ei|"camp, performing"|itona(mu)|"perform (ceremoies); build; conduct (business); follow (a profession), operate  (a store)"|176041
779|始|8|"Onna, Onnahen"|36|シ、はじ-める、はじ-まる||shi|beginning|"haji(meru), haji(maru)"|"begin, start, open; date from; (season) sets in; arise, break out; originate in. begin, open, start, originate, inaugurate, initiate "|175926
588|工|3|"E, Takumihen"|4|コウ、ク|たくみ|"koo, 	ku"|"artisan, mechanic; manufacture; work"|-|-|175531
578|午|4|Juu|11|ゴ|うま|go|"11 a.m.-1 p.m.; 7th zodiac sign"|-|-|175292
554|減|12|"Mizu, Sanzui, Shitamizu"|118|ゲン、へ-る、へ-らす||gen|"decrease, decline"|"he(ru), he(rasu)"|"decrease, dwindle, subside; wear and tear; get hungry. reduce, decrease, shorten, curtail; be hungry"|175018
1454|提|12|Tehen|89|テイ、さ-げる|ダイ、ひっさ、ひ|tei|"take along, carry in the hand"|sa(geru)|"take along, carry in the hand"|174364
983|渉|11|"Mizu, Sanzui, Shitamizu"|118|ショウ|わた|shoo|"cross, ford, ferry; be imported; change hands; make one's way through life; sweep across; migrate; be provided"|-|-|174306
108|応|7|"Kokoro, Risshinben, Shitagokoro"|76|オウ、こた-える||oo|"yes, all right"|kota(eru)|"respond, answer; be affected by (pain or stimulation); be effective"|174232
1770|福|13|"Shimesu, Shimesuhen"|15|フク||fuku|"fortune, blessing, luck, wealth; food which has been offered to gods"|-|-|173574
1396|町|7|"Ta, Tahen"|19|チョウ、まち||choo|"town; block; street; 2.45 acres; 119 yards"|machi|"town; quarters; street"|173304
725|昨|9|"Nichi, Nichihen"|38|サク|きのう|saku|"the past; yesterday, last (year)"|-|-|173067
1805|別|7|"Katana, Rittoo"|32|ベツ、わか-れる||betsu|"divide, split, separate; isolate; distribute, share; distinguish; spare "|waka(reru)|"branch off, diverge from, fork; split; be divided; part with; be divorced; bid farewell; break up, disperse, scatter "|172357
120|億|15|"Hito, Ninben, Hitoyane"|104|オク||oku|100,000,000|-|-|172259
776|私|7|"Nogi, Nogihen"|23|シ、わたくし、わたし||shi|"I; private affairs"|"watakushi, watashi"|"I, myself, private (affairs)"|171763
475|係|9|"Hito, Ninben, Hitoyane"|104|ケイ、かか-る、かかり||kei|"duty; person in charge"|"kaka(ru), kakari"|"duty; person in charge; is the work of"|171020
153|過|12|Shinnyoo|51|カ、す-ぎる、す-ごす、あやま-つ、あやま-ち|よぎ|ka|"excess; error"|"su(giru), su(gosu), ayama(tsu), ayama(chi)"|"pass, go past; elapse; exceed; spend; tide over; go through; live, (eat) too much; err; fault, error, indiscretion"|169936
66|運|12|Shinnyoo|51|ウン、はこ-ぶ||un|"destiny, fate, lot, fortune, luck"|hako(bu)|"transport, carry; progress, advance"|168926
797|試|13|"Gon, Gonben"|68|シ、こころ-みる、ため-す||shi|testing|"kokoro(miru), tame(su)"|"try, attempt. experiment, test, sample "|168464
496|警|19|"Gon, Gonben"|68|ケイ|キョウ|kei|"admonish, warn, prohibit"|-|-|168039
1031|食|9|"Shoku, Shokuhen"|12|ショク、[ジキ]、く-う、く-らう、た-べる|は|"shoku, [jiki]"|"food, provisions; eating, meal; appetite"|"ku(u), ku(rau), ta(beru)"|"eat; subsist on; support oneself; consume; get (a scolding); encroach; bite at, gnaw at; (shoes) pinch; be cheated. drink; receive (a blow)"|167658
1606|派|9|"Mizu, Sanzui, Shitamizu"|118|ハ||ha|"group, party, clique; faction, sect; school (of art, etc.)"|-|-|167524
466|軍|9|"Kuruma, Kurumahen"|15|グン|いくさ|gun|"army, force, troops"|-|-|167323
140|価|8|"Hito, Ninben, Hitoyane"|104|カ、あたい||ka|"price, cost, value, worth"|atai|"price, cost, value, worth"|166907
281|監|15|Sara|8|カン|ケン、ゲン|kan|"office, government office; director, head official"|-|-|166435
1680|番|12|"Ta, Tahen"|19|バン|つが|ban|"watch, guard; duty; number; order; size, game, round, turn, bout"|-|-|166150
576|五|4|Ni|6|ゴ、いつ、いつ-つ||go|five|"itsu, itsu(tsu)"|"five; five years old"|166108
135|可|5|"Kuchi, Kuchihen"|70|カ||ka|"good, passable; approval; safe to say, ability to do"|-|-|165873
23|為|9|"Hi, Hihen, Renga"|26|イ|ため、な|i|"change; be of use; reach to"|-|-|164942
1957|役|7|Gyooninben|19|ヤク、エキ||"eki, 	yaku"|"war, campaign, battle, expedition; exacted unpaid labor. office, post, position, appointment, duty; role; use, service, help "|-|-|164061
1046|身|7|Mi|1|シン、み||shin|"body; person; the quick; one's station in life; self; heart, soul, mind; ability; flesh, meat; life; blade; container; garment width "|mi|"body; person; the quick; one's station in life; self; heart, soul, mind; ability; flesh, meat; life; blade; container; garment width "|164014
1478|転|11|"Kuruma, Kurumahen"|15|テン、ころ-がる、ころ-げる、ころ-がす、ころ-ぶ|うた|ten|"turn, remove, change"|"koro(garu), koro(geru), koro(gasu), koro(bu)"|"roll over, tumble; lie down (on the lawn); be convulsed (with laughter). knock down. fall down "|163926
2118|郎|9|Oozato|12|ロウ||roo|"man; husband; counter for sons"|-|-|163121
1005|賞|15|"Kai, Kaihen"|35|ショウ||shoo|"prize, reward, praise"|-|-|161830
2050|流|10|"Mizu, Sanzui, Shitamizu"|118|リュウ、[ル]、なが-れる、なが-す||"ryuu, [ru]"|"current; counter for flags"|"naga(reru), naga(su)"|"flow, trickle, ooze, drain, run down; be washed away; float, drift; wander; be forfeited, be foreclosed; lapse; incline to; be swayed by; (years) pass. dash, pour, sluice, let run out, flush; set adrift; spill; shed (tears); wash away, wash off; forfeit, foreclose; exile; cruise (taxis) "|161604
971|松|8|"Ki, Kihen"|85|ショウ、まつ||shoo|pine|matsu|pine|161500
387|挙|10|Te|6|キョ、あ-げる、あ-がる|コ|kyo|"plan, project; behavior; actions; step"|"a(geru), a(garu)"|"celebrate (a ceremony); join (hands in an effort); have (a child); arrest; become prosperous; be captured"|161313
1364|置|13|Amigashira|7|チ、お-く||chi|"place, put, set, deposit, lay; leave behind; keep, have, leave; establish; employ; appoint; post, station; pawn; skip (one day). be formed (dew)"|o(ku)|"place, put, set, deposit, lay; leave behind; keep, have, leave; establish; employ; appoint; post, station; pawn; skip (one day). be formed (dew)"|161103
1737|夫|4|Dai|16|フ、[フウ]、おっと|か|"fu, [fuu]"|"husband; man"|otto|"husband, spouse"|159635
1127|勢|13|Chikara|23|セイ、いきお-い|セ、ゼ|sei|"energy; military strength"|ikio(i)|"force, vigor, energy, spirit, life; authority, influence, power, might; impetus; course (of events), tendency; necessarily"|159626
1712|必|5|"Kokoro, Risshinben, Shitagokoro"|76|ヒツ、かなら-ず||hitsu|certainly|kanara(zu)|"certainly, positively, invariably"|159382
826|式|6|Shikigamae|2|シキ|ショク、のり|shiki|"ceremony, rite, function; method, system; style, form, type, plan; formula, expression (in math); model; law; standard "|-|-|159193
1696|被|10|"Koromo, Koromohen"|21|ヒ、こうむ-る|かず、かぶ|hi|receiving|koomu(ru)|"get, receive, sustain (an injury), be subjected to (criticism)"|158623
214|格|10|"Ki, Kihen"|85|カク、[コウ]||"kaku, [koo]"|"status, rank; capacity, character; standard; a rule; a case (in law); case (in grammer)"|-|-|158523
444|銀|14|"Kane, Kanehen"|33|ギン||gin|silver|-|-|158495
885|州|6|Magarigawa|3|シュウ、す||shuu|"province, state; continent"|su|"sandbar, shallows"|158456
1140|石|5|"Ishi, Ishihen"|16|セキ、[シャク]、[コク]、いし||"seki, [shaku], [koku]"|"stone, pebble, rock; jewel; the go playing stones. 4.96 bushels; 10 cubic feet (of lumber)"|ishi|"stone, pebble, rock; jewel; the go playing stones"|156574
101|演|14|"Mizu, Sanzui, Shitamizu"|118|エン||en|"perform, play, act, enact, render, stage, put on"|-|-|155925
1269|側|11|"Hito, Ninben, Hitoyane"|104|ソク、がわ|そば|soku|"lean to one side, oppose, look aside, regret"|gawa|"a side; surroundings; (watch) case"|155653
1226|送|9|Shinnyoo|51|ソウ、おく-る||soo|sending|oku(ru)|"send, ship; transmit; remit; see off; see home, escort; spend (one's) time, live (a life); add"|155394
1858|防|7|Kozatohen|31|ボウ、ふせ-ぐ|ホウ|boo|"defend, protect; resist; keep away, shut out, ward off; prevent"|fuse(gu)|"defend, protect; resist; keep away, shut out, ward off; prevent"|153928
1836|放|8|Nobun|16|ホウ、はな-す、はな-つ、はな-れる、ほう-る|いた|hoo|"set free, release, fire, shoot; circulate (rumors); emit, give out; set fire to; banish "|"hana(su), hana(tsu), hana(reru), hoo(ru)"|"set free, release, fire, shoot; circulate (rumors); emit, give out; set fire to; banish. let go, disengage; liberate. free oneself from. throw, hurl, toss; give up; neglect; let alone "|153676
2061|両|6|Ichi|14|リョウ||ryoo|"old Japanese coin; both; two; vehicle counter"|-|-|152434
40|育|8|"Niku, Nikuzuki"|44|イク、そだ-つ、そだ-てる、はぐく-む||iku|"be raised, be brought up, grow, grow up"|"soda(tsu), soda(teru), haguku(mu)"|"be raised, be brought up, grow, grow up; raise, rear, bring up"|152386
1747|負|9|"Kai, Kaihen"|35|フ、ま-ける、ま-かす、お-う||fu|"negative, minus; minus sign "|"ma(keru), ma(kasu), o(u)"|"be defeated; get the worst of it; be overcome with; yield to; be inferior to; lower the price; be poisoned with lacquer. overcome, outrival, defeat. bear, carry on the back; owe; assume, bear (a responsibility); be accused of; sustain (an injury)"|152042
228|楽|13|"Ki, Kihen"|85|ガク、ラク、たの-しい、たの-しむ||"gaku, 	raku"|"music; comfort, ease, relief; pleasure; concluding program"|"tano(shii), tano(shimu)"|"enjoy; amuse oneself; anticipate; merry, pleasant, cheerful, joyful"|151158
722|崎|11|"Yama, Yamahen"|16|さき|キ|-|-|saki|"cape, spit, promontory"|150430
1705|美|9|Hitsuji|7|ビ、うつく-しい|ミ、うま、よ|bi|"beauty, grace, charm"|utsuku(shii)|"beautiful, lovely, fine, good-looking; picturesque; sweet (voice), noble, pure"|150353
1013|状|7|"Inu, Kemonohen"|17|ジョウ||joo|"condition, circumstances; form, appearances; letter"|-|-|150338
1986|与|3|Ichi|14|ヨ、あた-える|あずか、くみ|yo|"give, award, impart, provide, allot, cause (pain or damage) "|ata(eru)|"give, award, impart, provide, allot, cause (pain or damage) "|149687
1350|断|11|"Kin, Onozukuri"|5|ダン、た-つ、ことわ-る||dan|"decision, judgment; cutting"|"ta(tsu), kotowa(ru)"|"sever, cut off; shut off, interrupt; abstain from; eradicate; suppress. decline, refuse; apologize; give notice; warn; dismiss; prohibit "|149619
1699|費|12|"Kai, Kaihen"|35|ヒ、つい-やす、つい-える||hi|"expenses, cost"|"tsui(yasu), tsui(eru)"|"spend, consume, waste. become less; be wasted "|149544
94|援|12|Tehen|89|エン||en|"help, save"|-|-|149374
